収録順,上位銘柄コード,商品コード,銘柄名,色名,MS番号,L,a,b,光沢感,主観の色分類
1,3100000,668558,NTラシャ,無垢,A-1,97.17,2.74,-10.66,None,高白色
2,3100000,668541,NTラシャ,スノーホワイト,A-1,96.1,1.23,-4.15,None,高白色
3,3100000,668533,NTラシャ,白,A-1,94.76,-1.52,8.55,None,白
4,3100000,668525,NTラシャ,ナチュラル,A-1,93.23,-1.07,17.46,None,ナチュラル
5,3100000,667527,NTラシャ,うすクリーム,A-1,92.93,-0.79,19.15,None,ナチュラル
6,3100000,668269,NTラシャ,グレー05,A-1,90.58,1.5,4.66,None,グレー
7,3100000,668277,NTラシャ,グレー10,A-1,86.01,3.09,5.24,None,グレー
8,3100000,668285,NTラシャ,グレー20,A-1,80.35,2.7,3.38,None,グレー
9,3100000,668293,NTラシャ,グレー30,A-1,74.04,1.83,2.47,None,グレー
10,3100000,668301,NTラシャ,グレー40,A-1,64.55,0.99,0.85,None,グレー
11,3100000,668319,NTラシャ,グレー50,A-1,56.14,0.64,-0.4,None,グレー
12,3100000,668327,NTラシャ,グレー70,A-1,40.49,-0.26,-0.93,None,グレー
13,3100000,668335,NTラシャ,グレー90,A-1,34.16,0.2,0.68,None,グレー
14,3100000,667444,NTラシャ,黒,A-1,29.29,-1.03,1.35,None,黒
15,3100000,668509,NTラシャ,漆黒,A-1,21.48,-0.17,0.05,None,黒
16,3100000,668368,NTラシャ,しろ鼠,A-1,85.87,3.12,11.93,None,茶
17,3100000,668434,NTラシャ,びゃくろく,A-1,81.21,2.49,11.45,None,茶
18,3100000,667956,NTラシャ,銀鼠,A-1,73.75,0.53,9.63,None,グレー
19,3100000,667592,NTラシャ,鼠,A-1,73.76,5.4,8.21,None,茶
20,3100000,668178,NTラシャ,うもれぎ,A-1,69.48,3.77,8.02,None,茶
21,3100000,667600,NTラシャ,灰鼠,A-1,57.41,5.37,10.51,None,茶
22,3100000,668350,NTラシャ,シルバー,A-1,78.98,0.83,4.74,None,グレー
23,3100000,668251,NTラシャ,青鼠,A-1,69.92,-1.31,2.18,None,グレー
24,3100000,668400,NTラシャ,鉛,A-1,56.02,-2,1.52,None,グレー
25,3100000,668202,NTラシャ,きなり,A-1,79.47,6.57,16.77,None,茶
26,3100000,668186,NTラシャ,カシミヤ,A-1,74.25,7.01,17.83,None,茶
27,3100000,667394,NTラシャ,白茶,A-1,71.77,10.16,22.34,None,茶
28,3100000,668194,NTラシャ,かすみ,A-1,81.28,5.75,8.42,None,ピンク
29,3100000,668079,NTラシャ,にぶ赤鼠,A-1,66.94,6.46,11.89,None,茶
30,3100000,667410,NTラシャ,うす鼠,A-1,75.17,5.85,18.8,None,茶
31,3100000,668210,NTラシャ,ベージュ,A-1,69.9,6.9,15.67,None,茶
32,3100000,668038,NTラシャ,すないろ,A-1,63.73,3.72,18.09,None,茶
33,3100000,668442,NTラシャ,ベージュホワイト,A-1,87.22,3.41,11.27,None,茶
34,3100000,668418,NTラシャ,パールピンク,A-1,87.81,4.26,6.75,None,ピンク
35,3100000,668467,NTラシャ,ホワイトローズ,A-1,88.51,7,5.4,None,ピンク
36,3100000,668483,NTラシャ,ラベンダー,A-1,82.1,4.44,-0.86,None,紫
37,3100000,668475,NTラシャ,ライトブルー,A-1,82.46,-0.85,-3.32,None,青
38,3100000,668459,NTラシャ,ペールグリーン,A-1,87.79,-2.22,5.15,None,緑
39,3100000,668376,NTラシャ,ティーグリーン,A-1,83.66,1.42,7.88,None,グレー
40,3100000,667360,NTラシャ,クリーム,A-1,87.18,6.16,36.88,None,黄色
41,3100000,667691,NTラシャ,象牙,A-1,89.03,5.96,22.51,None,オレンジ
42,3100000,667535,NTラシャ,古染,A-1,83.39,8.49,20.03,None,オレンジ
43,3100000,668137,NTラシャ,桃,A-1,81.4,12.09,12.51,None,ピンク
44,3100000,667493,NTラシャ,ピンク,A-1,87.77,11.12,11.68,None,ピンク
45,3100000,668103,NTラシャ,べに鮭,A-1,73.83,28.59,19.62,None,ピンク
46,3100000,667824,NTラシャ,ばら,A-1,80.25,21.38,7.13,None,ピンク
47,3100000,667816,NTラシャ,にぶ桃,A-1,66.22,20.78,0.84,None,ピンク
48,3100000,667949,NTラシャ,梅鼠,A-1,57.98,11.05,0.99,None,紫
49,3100000,667923,NTラシャ,うす藤紫,A-1,66.96,6.01,-16.19,None,紫
50,,667725,NTラシャ,にぶ藤,A-1,59.46,5.26,-6.86,None,紫
51,3100000,667915,NTラシャ,うす藤,A-1,62.52,1.88,-9.24,None,紫
52,3100000,667899,NTラシャ,うす青,A-1,65.19,-3.37,-16.26,None,青
53,3100000,668111,NTラシャ,みずいろ,A-1,74.29,-8.62,-10.12,None,青
54,3100000,667717,NTラシャ,にぶ空,A-1,64.65,-11.97,-9.88,None,青
55,3100000,667659,NTラシャ,濃あさぎ,A-1,65.49,-21.77,-12.77,None,青
56,3100000,668061,NTラシャ,にぶあさぎ,A-1,71.5,-11.89,-2.17,None,青
57,3100000,667378,NTラシャ,あさぎ,A-1,77.27,-15.01,-0.59,None,青
58,3100000,667907,NTラシャ,うすあさぎ,A-1,80.16,-8.98,9.8,None,緑
59,3100000,668152,NTラシャ,若葉,A-1,70.68,-14.72,24.82,None,緑
60,3100000,667477,NTラシャ,ひわ,A-1,80.39,-2.94,27.37,None,緑
61,3100000,667469,NTラシャ,ひまわり,A-1,90.24,-4.76,78.64,None,黄色
62,3100000,667543,NTラシャ,黄色,A-1,84.79,4.47,68.38,None,黄色
63,3100000,667758,NTラシャ,山吹,A-1,77.38,18.49,59.86,None,黄色
64,3100000,667634,NTラシャ,からし,A-1,67.45,23.24,56.78,None,オレンジ
65,3100000,667774,NTラシャ,オレンジ,A-1,66.31,31.64,60.09,None,オレンジ
66,3100000,667881,NTラシャ,あんず,A-1,56.53,31.02,40.6,None,オレンジ
67,3100000,667519,NTラシャ,朱,A-1,54.76,50.94,37.3,None,オレンジ
68,3100000,668426,NTラシャ,緋色,A-1,45.43,42.37,26.76,None,赤
69,3100000,668491,NTラシャ,濃赤,A-1,40.26,49.76,24.5,None,赤
70,3100000,667451,NTラシャ,赤,A-1,44.65,48.64,11.81,None,赤
71,3100000,667998,NTラシャ,こうばい,A-1,61.27,40.51,-1,None,ピンク
72,3100000,667832,NTラシャ,ぼたん,A-1,63.76,35.04,-10.64,None,ピンク
73,3100000,667485,NTラシャ,藤,A-1,61.5,17.7,-18.91,None,紫
74,3100000,667642,NTラシャ,群青,A-1,49.47,-3.43,-30.1,None,青
75,3100000,667386,NTラシャ,空,A-1,58.53,-7.61,-27.09,None,青
76,3100000,668236,NTラシャ,濃青,A-1,51.59,-16.73,-29.8,None,青
77,3100000,668145,NTラシャ,るり,A-1,57.21,-24.19,-29.87,None,青
78,3100000,667931,NTラシャ,うするり,A-1,71.42,-29.18,-12.82,None,青
79,3100000,668228,NTラシャ,青緑,A-1,58.09,-36.21,-11.94,None,青
80,3100000,667857,NTラシャ,緑,A-1,55.35,-34.35,11.49,None,緑
81,3100000,667865,NTラシャ,あさ緑,A-1,74.4,-33.65,23.26,None,緑
82,3100000,667766,NTラシャ,若緑,A-1,68.2,-28.15,48.39,None,緑
83,3100000,667568,NTラシャ,黄緑,A-1,71.29,-14.08,50.94,None,緑
84,3100000,668129,NTラシャ,もえぎ,A-1,71.72,1.13,56.8,None,黄色
85,3100000,667709,NTラシャ,にぶ黄,A-1,73.91,5.96,57.55,None,黄色
86,3100000,667550,NTラシャ,栗,A-1,71.29,15.71,42.74,None,オレンジ
87,3100000,668244,NTラシャ,くるみ,A-1,55.61,5.64,20.4,None,茶
88,3100000,668020,NTラシャ,すすき,A-1,60.99,12.89,19.14,None,茶
89,3100000,667584,NTラシャ,たばこ,A-1,55.87,19.19,32.07,None,茶
90,3100000,667402,NTラシャ,赤茶,A-1,54.18,32.92,33.12,None,オレンジ
91,3100000,668517,NTラシャ,あずき,A-1,56.74,23.92,14.96,None,ピンク
92,3100000,667741,NTラシャ,べんがら,A-1,45.81,31.9,21.37,None,赤
93,3100000,668095,NTラシャ,べに,A-1,41.87,42.12,14.65,None,赤
94,3100000,667782,NTラシャ,からべに,A-1,45.21,37.25,11.79,None,赤
95,3100000,667873,NTラシャ,あざみ,A-1,49.36,22.45,2.14,None,ピンク
96,3100000,667683,NTラシャ,濃紫,A-1,48.65,14.8,-9.55,None,紫
97,3100000,667840,NTラシャ,藤紫,A-1,46.4,13.4,-16.24,None,紫
98,3100000,668004,NTラシャ,紺,A-1,39.19,1.69,-17.5,None,青
99,3100000,667576,NTラシャ,はなだ,A-1,51.23,-1.18,-7.76,None,青
100,3100000,668053,NTラシャ,にぶ青,A-1,53.19,-9.04,-10.99,None,青
101,3100000,668046,NTラシャ,なんど,A-1,41.03,-10.95,-9.39,None,青
102,3100000,667618,NTラシャ,うすはなだ,A-1,63.09,-7.66,3.84,None,青
103,3100000,668012,NTラシャ,新橋,A-1,45.71,-18.28,6.35,None,緑
104,3100000,667675,NTラシャ,濃緑,A-1,41.6,-10.36,13,None,緑
105,3100000,667733,NTラシャ,にぶ緑,A-1,52.96,-12.93,25.79,None,緑
106,3100000,667964,NTラシャ,草,A-1,49.51,-9.06,24.93,None,緑
107,3100000,667808,NTラシャ,にぶひわ,A-1,71.87,-1.61,10.28,None,緑
108,3100000,667501,NTラシャ,オリーブ,A-1,53.98,-2.09,30.42,None,緑
109,3100000,668160,NTラシャ,わらび,A-1,62.22,4.88,38.14,None,緑
110,3100000,667667,NTラシャ,濃黄土,A-1,51.75,9.41,37.05,None,茶
111,3100000,667428,NTラシャ,セピア,A-1,45.04,8.53,16.35,None,茶
112,3100000,667980,NTラシャ,濃茶,A-1,39.81,10.92,14.3,None,茶
113,3100000,667626,NTラシャ,えんじ,A-1,37.06,21.76,2.59,None,紫
114,3100000,668087,NTラシャ,ぶどう,A-1,37.75,14.38,-1.86,None,紫
115,3100000,667436,NTラシャ,あい,A-1,33.48,-1.68,-14.48,None,青
116,3100000,667972,NTラシャ,濃あい,A-1,29.83,-0.44,-7.77,None,青
117,3100000,668384,NTラシャ,鉄,A-1,30.03,-5.48,-2.71,None,緑
118,3100000,668392,NTラシャ,ときわ,A-1,31.16,-5.06,8.52,None,緑
119,,668343,NTラシャ,濃松葉,A-1,32.83,-1.31,10.12,None,緑
120,3100000,667790,NTラシャ,くち葉,A-1,37.31,2.73,8.58,None,茶
121,3007600,377671,スーパーコントラスト,スーパーホワイト,A-1,96.28,-0.27,2.29,None,白
122,3007600,377630,スーパーコントラスト,スーパーブラック,A-1,21.43,-0.07,-0.42,None,黒
123,3002000,652602,箔守-FS,　,A-1,25.18,0.49,-0.2,None,黒
1,3021000,332874,タント,I-50,A-2-1,81.53,62.24,-3.75,None,ピンク
2,3021000,332882,タント,I-53,A-2-1,80.99,55.14,28.77,None,ピンク
3,3021000,332890,タント,I-55,A-2-1,92.4,47.14,68.24,None,オレンジ
4,3021000,332908,タント,I-60,A-2-1,102.94,-33.21,84.52,None,黄色
5,3021000,332916,タント,I-62,A-2-1,86.32,-59.82,58.49,None,緑
6,3021000,332924,タント,I-67,A-2-1,69.69,-30.06,-26.36,None,青
7,3021000,332932,タント,I-72,A-2-1,66.01,27.95,-36.03,None,紫
8,3021000,181065,タント,D-50,A-2-1,39.61,35.78,-0.17,None,紫
9,3021000,403758,タント,V-50,A-2-1,40.01,46.01,5.19,None,紫
10,3021000,181198,タント,H-50,A-2-1,36.74,21.73,4.49,None,紫
11,3021000,181073,タント,D-52,A-2-1,38.91,35.56,13.37,None,赤
12,3021000,333088,タント,X-52,A-2-1,37.48,25.52,13.9,None,茶
13,3021000,332858,タント,H-53,A-2-1,42.29,27.28,16.23,None,赤
14,3021000,181081,タント,D-53,A-2-1,49.44,35.52,22.74,None,茶
15,3021000,180828,タント,N-50,A-2-1,48.91,46.83,2.48,None,ピンク
16,3021000,180836,タント,N-51,A-2-1,42.66,42.94,10.6,None,赤
17,3021000,403766,タント,V-52,A-2-1,42.41,47.13,22.23,None,赤
18,3021000,180844,タント,N-52,A-2-1,42.33,45.52,18.31,None,赤
19,3021000,180851,タント,N-53,A-2-1,47.67,49.09,27.69,None,赤
20,3021000,332767,タント,F-53,A-2-1,68.68,46.45,22.85,None,ピンク
21,3021000,332957,タント,M-53,A-2-1,69.3,36.13,12.88,None,ピンク
22,3021000,332940,タント,M-50,A-2-1,73.61,27.05,-6.05,None,ピンク
23,3021000,332759,タント,F-50,A-2-1,72.51,37.54,2.79,None,ピンク
24,3021000,178384,タント,L-50,A-2-1,81.13,20.74,4.47,None,ピンク
25,3021000,211979,タント,G-50,A-2-1,75.88,13.96,4.6,None,ピンク
26,3021000,211987,タント,G-52,A-2-1,76.82,15.94,9.86,None,ピンク
27,3021000,382424,タント,E-53,A-2-1,81.2,8.77,12.47,None,ピンク
28,3021000,178392,タント,L-53,A-2-1,81.67,22.73,15.79,None,ピンク
29,3021000,331173,タント,C-50,A-2-1,89.79,14.05,-1.79,None,ピンク
30,3021000,382416,タント,E-50,A-2-1,81.35,11.45,4.3,None,ピンク
31,3021000,178541,タント,P-50,A-2-1,89.56,7.03,8.6,None,ピンク
32,3021000,212092,タント,O-52,A-2-1,90.77,3.76,9.11,None,ピンク
33,3021000,178558,タント,P-53,A-2-1,89.61,6.73,13.99,None,ピンク
34,3021000,331181,タント,C-54,A-2-1,87.97,17.79,8.5,None,ピンク
35,3021000,180869,タント,N-54,A-2-1,55.79,52.45,39.57,None,オレンジ
36,3021000,403774,タント,V-55,A-2-1,56.73,49.56,51.93,None,オレンジ
37,3021000,181099,タント,D-55,A-2-1,55.23,35.84,37.49,None,オレンジ
38,3021000,333096,タント,X-55,A-2-1,46.75,26.37,24.49,None,茶
39,3021000,181107,タント,D-57,A-2-1,65.78,23.03,54.68,None,オレンジ
40,3021000,181115,タント,D-58,A-2-1,70.29,16.49,54.13,None,オレンジ
41,3021000,180901,タント,N-58,A-2-1,82.42,12.45,76.85,None,黄色
42,3021000,382051,タント,D-54,A-2-1,54.2,38.59,27.16,None,茶
43,3021000,332965,タント,M-55,A-2-1,61.54,25.82,27.27,None,茶
44,3021000,180877,タント,N-55,A-2-1,65.07,46.81,53.62,None,オレンジ
45,3021000,180885,タント,N-56,A-2-1,70.24,35,54,None,オレンジ
46,3021000,180893,タント,N-57,A-2-1,74.07,22.33,65.45,None,オレンジ
47,3021000,403782,タント,V-59,A-2-1,82.93,10.31,85.19,None,黄色
48,3021000,180919,タント,N-59,A-2-1,83.46,0.86,67.42,None,黄色
49,3021000,178400,タント,L-55,A-2-1,77.52,19.34,36.63,None,オレンジ
50,3021000,332775,タント,F-56,A-2-1,79.19,26.38,48.3,None,オレンジ
51,3021000,211995,タント,G-57,A-2-1,73.72,11.82,30.48,None,オレンジ
52,3021000,382440,タント,E-57,A-2-1,80.68,6.22,24.91,None,茶
53,3021000,178426,タント,L-59,A-2-1,89.43,-2.01,39.45,None,黄色
54,3021000,382077,タント,L-58,A-2-1,87.28,2.4,59.94,None,黄色
55,3021000,180927,タント,N-60,A-2-1,91.63,-8.27,63.15,None,黄色
56,3021000,178566,タント,P-55,A-2-1,89.74,4.52,20.03,None,オレンジ
57,3021000,382432,タント,E-55,A-2-1,84.18,5.24,17.42,None,茶
58,3021000,212100,タント,O-56,A-2-1,92.78,0.99,13.76,None,ナチュラル
59,3021000,178418,タント,L-57,A-2-1,89.34,0.98,34.5,None,黄色
60,3021000,181206,タント,H-58,A-2-1,50.75,12.13,35.27,None,茶
61,3021000,333104,タント,X-57,A-2-1,46.38,12.07,25.23,None,茶
62,3021000,332981,タント,M-61,A-2-1,65.81,-8.21,39.86,None,緑
63,3021000,181131,タント,D-61,A-2-1,62.52,-1.51,35.87,None,緑
64,3021000,332866,タント,H-61,A-2-1,48.69,-3.53,26.06,None,緑
65,3021000,333112,タント,X-61,A-2-1,44.21,-2.6,19.14,None,緑
66,3021000,403790,タント,V-62,A-2-1,63.52,-32.72,48.33,None,緑
67,3021000,181123,タント,D-59,A-2-1,71.31,6.27,40.81,None,黄色
68,3021000,332973,タント,M-59,A-2-1,75.46,1.07,49.48,None,黄色
69,3021000,178434,タント,L-61,A-2-1,82.15,-6.49,35.93,None,緑
70,3021000,332783,タント,F-60,A-2-1,87.01,-9.65,67.4,None,黄色
71,3021000,180935,タント,N-61,A-2-1,80.26,-12.14,58.17,None,緑
72,3021000,332791,タント,F-61,A-2-1,82.72,-26.41,52.12,None,緑
73,3021000,180943,タント,N-62,A-2-1,72.06,-30.02,40.61,None,緑
74,3021000,178574,タント,P-58,A-2-1,93.16,-1.48,22.3,None,黄色
75,3021000,212001,タント,G-58,A-2-1,81.45,1.74,33.99,None,黄色
76,3021000,382457,タント,E-60,A-2-1,81.73,-1.12,27.85,None,黄色
77,3021000,178582,タント,P-60,A-2-1,94.82,-6.72,27.95,None,黄色
78,3021000,331199,タント,C-60,A-2-1,95.29,-10.44,36.89,None,黄色
79,3021000,178590,タント,P-62,A-2-1,91.17,-3.91,23.26,None,黄色
80,3021000,212019,タント,G-61,A-2-1,80.33,-8.14,30.12,None,緑
81,3021000,212118,タント,O-61,A-2-1,94.32,-2.12,15.44,None,黄色
82,3021000,180950,タント,N-63,A-2-1,58.68,-30.49,26.17,None,緑
83,3021000,181149,タント,D-63,A-2-1,51.92,-12.02,28.36,None,緑
84,3021000,181214,タント,H-64,A-2-1,44.53,-16.45,14.1,None,緑
85,3021000,180968,タント,N-64,A-2-1,54.69,-34.73,16.36,None,緑
86,3021000,403808,タント,V-65,A-2-1,46.28,-41.86,8.23,None,緑
87,3021000,181156,タント,D-65,A-2-1,43.21,-19.39,0.56,None,緑
88,3021000,333120,タント,X-65,A-2-1,35.08,-8.41,4.18,None,緑
89,3021000,178442,タント,L-62,A-2-1,82.71,-12.87,28.7,None,緑
90,3021000,212027,タント,G-63,A-2-1,74.29,-7.12,21,None,緑
91,3021000,178459,タント,L-64,A-2-1,75.35,-28.35,23.66,None,緑
92,3021000,212035,タント,G-64,A-2-1,74.01,-17.86,11.65,None,緑
93,3021000,332999,タント,M-64,A-2-1,61.24,-12.06,9.18,None,緑
94,3021000,180976,タント,N-65,A-2-1,51.52,-36.3,5.92,None,緑
95,3021000,332809,タント,F-65,A-2-1,70.65,-38.68,5.53,None,緑
96,3021000,332700,タント,C-62,A-2-1,93.29,-14.25,32.96,None,緑
97,3021000,382465,タント,E-62,A-2-1,85.93,-6.45,25.2,None,緑
98,3021000,178608,タント,P-64,A-2-1,90.98,-7.42,24.44,None,緑
99,3021000,382473,タント,E-64,A-2-1,83.01,-10.49,16.09,None,緑
100,3021000,212126,タント,O-64,A-2-1,92.18,-2.84,12.33,None,緑
101,3021000,178616,タント,P-66,A-2-1,87.51,-15.76,10.46,None,緑
102,3021000,382481,タント,E-66,A-2-1,84.17,-11.72,3.29,None,青
103,3021000,180984,タント,N-66,A-2-1,54.09,-36.7,-11.01,None,青
104,3021000,180992,タント,N-67,A-2-1,62.33,-31.11,-24.22,None,青
105,3021000,181008,タント,N-68,A-2-1,55.58,-22.58,-30.27,None,青
106,3021000,181164,タント,D-67,A-2-1,47.62,-21.43,-15.46,None,青
107,3021000,517854,タント,V-68,A-2-1,38.86,-4.37,-29.94,None,青
108,3021000,181016,タント,N-69,A-2-1,53.05,-13.77,-28.62,None,青
109,3021000,181172,タント,D-69,A-2-1,44.45,-11.34,-25.76,None,青
110,3021000,178467,タント,L-66,A-2-1,73.01,-31.6,0.02,None,青
111,3021000,333005,タント,M-66,A-2-1,60.14,-12.61,-4.05,None,青
112,3021000,332817,タント,F-67,A-2-1,70.8,-29.69,-18.75,None,青
113,3021000,178475,タント,L-67,A-2-1,78.98,-25.58,-11.05,None,青
114,3021000,178483,タント,L-68,A-2-1,74.1,-16.64,-11.79,None,青
115,3021000,178491,タント,L-69,A-2-1,70.95,-11.82,-15.93,None,青
116,3021000,332825,タント,F-70,A-2-1,62.22,-10.51,-29.93,None,青
117,3021000,332718,タント,C-65,A-2-1,90.46,-16.73,2.83,None,青
118,3021000,212043,タント,G-66,A-2-1,73.66,-15.61,0.8,None,緑
119,3021000,212050,タント,G-67,A-2-1,74.71,-14.09,-6.59,None,青
120,3021000,178632,タント,P-68,A-2-1,81.43,-7.1,-1.17,None,青
121,3021000,382499,タント,E-68,A-2-1,80.73,-6.33,-3.91,None,青
122,3021000,212068,タント,G-69,A-2-1,71.28,-6.42,-7.75,None,青
123,3021000,178509,タント,L-70,A-2-1,69.26,-6.54,-16.44,None,青
124,3021000,178624,タント,P-67,A-2-1,86.92,-13.25,2.97,None,青
125,3021000,332726,タント,C-68,A-2-1,90.1,-9.99,-5.1,None,青
126,3021000,212134,タント,O-68,A-2-1,89.67,-2.89,4.08,None,青
127,3021000,212142,タント,O-70,A-2-1,86.55,-0.4,0.46,None,青
128,3021000,181180,タント,D-70,A-2-1,42.23,-2.28,-24.57,None,青
129,3021000,181222,タント,H-70,A-2-1,34.01,-2.89,-16.59,None,青
130,3021000,181032,タント,N-71,A-2-1,46.9,3.88,-28.47,None,青
131,3021000,333138,タント,X-71,A-2-1,31.71,3.91,-11.89,None,青
132,3021000,181040,タント,N-72,A-2-1,45.43,23.4,-20.9,None,紫
133,3021000,181057,タント,N-73,A-2-1,40.72,31,-15.18,None,紫
134,3021000,333146,タント,X-73,A-2-1,33.97,11.86,-5.25,None,紫
135,3021000,181024,タント,N-70,A-2-1,49,-3.45,-26.09,None,青
136,3021000,333013,タント,M-70,A-2-1,59.87,-3.85,-12.29,None,青
137,3021000,332833,タント,F-71,A-2-1,51.51,3.13,-32.85,None,青
138,3021000,333021,タント,M-71,A-2-1,57.71,0.88,-10.89,None,紫
139,3021000,332841,タント,F-72,A-2-1,61.92,22.66,-21.81,None,紫
140,3021000,382069,タント,H-72,A-2-1,47.12,7.95,-8.84,None,紫
141,3021000,333039,タント,M-73,A-2-1,66.46,16.76,-3.57,None,紫
142,3021000,178640,タント,P-70,A-2-1,80.14,-1.07,-2.06,None,紫
143,3021000,178517,タント,L-71,A-2-1,69.75,1.91,-16.28,None,紫
144,3021000,212076,タント,G-71,A-2-1,71.26,1.88,-7.43,None,紫
145,3021000,212084,タント,G-72,A-2-1,74.41,6.02,-4.86,None,紫
146,3021000,178525,タント,L-72,A-2-1,71.07,9.95,-11.01,None,紫
147,3021000,332742,タント,C-73,A-2-1,85.62,8.88,-6.69,None,紫
148,3021000,178533,タント,L-73,A-2-1,72.36,17.93,3.01,None,ピンク
149,3021000,382507,タント,E-71,A-2-1,80.22,1.75,-2.08,None,グレー
150,3021000,332734,タント,C-71,A-2-1,86.95,-0.18,-8.57,None,紫
151,3021000,212159,タント,O-72,A-2-1,88.6,1.46,1.98,None,紫
152,3021000,178657,タント,P-72,A-2-1,85.27,3.5,0.68,None,紫
153,3021000,173427,タント,N-1,A-2-1,27.37,0.13,-0.37,None,黒
154,3021000,212167,タント,S-2,A-2-1,38.56,0.97,3.46,None,グレー
155,3021000,212175,タント,S-3,A-2-1,48.05,0.54,1.76,None,グレー
156,3021000,212183,タント,S-4,A-2-1,54.29,0.99,0.92,None,グレー
157,3021000,212191,タント,S-5,A-2-1,66.22,1.31,2,None,グレー
158,3021000,173377,タント,B-4,A-2-1,69.04,-0.73,4.5,None,グレー
159,3021000,212209,タント,S-6,A-2-1,77.97,0.33,4.49,None,グレー
160,3021000,173435,タント,N-2,A-2-1,38.19,-0.86,6.98,None,グレー
161,3021000,173369,タント,B-3,A-2-1,55.16,-1.29,7.6,None,グレー
162,3021000,173542,タント,Y-3,A-2-1,58.98,0.16,12.03,None,グレー
163,3021000,173559,タント,Y-4,A-2-1,72.19,-0.62,14.57,None,グレー
164,3021000,173468,タント,N-5,A-2-1,81.76,-2.17,9.01,None,グレー
165,3021000,382390,タント,E-6,A-2-1,80.55,-0.2,4.89,None,グレー
166,3021000,173385,タント,B-5,A-2-1,82.77,-3.87,5.58,None,グレー
167,3021000,173443,タント,N-3,A-2-1,52.11,2,7.96,None,グレー
168,3021000,173310,タント,R-3,A-2-1,57.25,3.72,9.31,None,グレー
169,3021000,173450,タント,N-4,A-2-1,68.45,3,9.53,None,グレー
170,3021000,173476,タント,N-6,A-2-1,87.38,-0.44,11.63,None,グレー
171,3021000,212217,タント,S-7,A-2-1,85.27,0.44,5.25,None,グレー
172,3021000,331157,タント,C-6,A-2-1,86.4,0.38,-0.72,None,グレー
173,3021000,331165,タント,C-8,A-2-1,93.26,2.12,-10.76,None,高白色
174,3021000,382408,タント,E-7,A-2-1,93.58,-2.17,15.91,None,黄色
175,3021000,173575,タント,Y-6,A-2-1,93.78,-0.97,16.33,None,黄色
176,3021000,173484,タント,N-7,A-2-1,93.19,-0.18,10.92,None,白
177,3021000,382085,タント,Y-8,A-2-1,94.72,-0.85,9.51,None,白
178,3021000,212225,タント,S-8,A-2-1,89.83,-0.06,8.05,None,グレー
179,3021000,173492,タント,N-8,A-2-1,96.72,0.58,-2.98,None,高白色
180,3021000,452003,タント,N-9,A-2-1,97.83,1.94,-9.91,None,高白色
181,3021000,333047,タント,S-10,A-2-1,32.59,3.53,2.71,None,茶
182,3021000,333062,タント,S-12,A-2-1,41.2,10.37,14.22,None,茶
183,3021000,173500,タント,N-10,A-2-1,55.87,17.03,23.11,None,茶
184,3021000,173393,タント,B-10,A-2-1,60.55,20.55,26.81,None,茶
185,3021000,173344,タント,R-10,A-2-1,63.95,23.28,28.18,None,茶
186,3021000,173351,タント,R-11,A-2-1,73.5,15.32,21.47,None,茶
187,3021000,173526,タント,N-12,A-2-1,77.17,9.55,18.96,None,茶
188,3021000,333054,タント,S-11,A-2-1,34.29,7.62,7.91,None,茶
189,3021000,333070,タント,S-13,A-2-1,45.3,6.83,7.66,None,茶
190,3021000,173583,タント,Y-10,A-2-1,50.2,10.73,19.94,None,茶
191,3021000,173518,タント,N-11,A-2-1,65.39,14.21,19.99,None,茶
192,3021000,173401,タント,B-11,A-2-1,64.76,16.22,27.49,None,茶
193,3021000,173591,タント,Y-11,A-2-1,65.18,11.11,22.23,None,茶
194,3021000,173609,タント,Y-12,A-2-1,76,9.49,31.21,None,オレンジ
195,3021000,173328,タント,R-4,A-2-1,69.32,5.97,10.06,None,グレー
196,3021000,173336,タント,R-5,A-2-1,83.85,1.55,11.46,None,グレー
197,3021000,173567,タント,Y-5,A-2-1,84.57,1.3,14.2,None,グレー
198,3021000,173534,タント,N-13,A-2-1,82.78,7.1,17.39,None,オレンジ
199,3021000,173419,タント,B-13,A-2-1,79.03,8.55,23.66,None,オレンジ
200,3021000,173617,タント,Y-13,A-2-1,81.54,5.13,28.85,None,黄色
201,3026800,653386,タントキラ,K-9,A-2-1,97.02,1.25,-5.5,None,高白色
202,3026800,653378,タントキラ,K-5,A-2-1,73.27,0.28,-0.56,None,グレー
203,3026800,653360,タントキラ,K-4,A-2-1,66.77,-0.44,-2.55,None,グレー
204,3026800,653402,タントキラ,K-54,A-2-1,89.07,15.29,7.2,None,ピンク
205,3026800,653394,タントキラ,K-50,A-2-1,90.51,12.21,-0.97,None,ピンク
206,3026800,653451,タントキラ,K-73,A-2-1,87.02,7.03,-4.94,None,紫
207,3026800,653444,タントキラ,K-71,A-2-1,88.08,-0.4,-7.02,None,青
208,3026800,653436,タントキラ,K-68,A-2-1,90.57,-8.66,-3.67,None,青
209,3026800,653428,タントキラ,K-65,A-2-1,90.96,-13.89,2.86,None,緑
210,3026800,653410,タントキラ,K-62,A-2-1,93.66,-11.46,24.63,None,緑
1,3026900,661769,タントボード-F,N-9,A-2-2,99.27,2.02,-9.71,None,高白色
2,3026900,661751,タントボード-F,N-1,A-2-2,25.49,0.13,0.02,None,黒
3,3026900,661801,タントボード-F,S-10,A-2-2,32.5,3.63,2.75,None,茶
